temperatura,umidade,area,ocupacao,hvac,iluminacao,energia_renovavel,feriado,consumo_energia,mes,dia,hora,fim_de_semana,semana_do_ano,dia_semana_sexta,dia_semana_segunda,dia_semana_sabado,dia_semana_domingo,dia_semana_quinta,dia_semana_terca,dia_semana_quarta,periodo_madrugada,periodo_manha,periodo_noite,periodo_tarde,eficiencia_por_metro_quadrado,kwh_por_pessoa,hvac_eficiencia,iluminacao_eficiencia,percentual_renovavel,conforto_termico
25.139433,43.43158,1565.694,5,1,0,2.7746987,0,75.36437,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0.048134804,15.072874,0.013268869,0.0,3.6817114,34.285507
27.731651,54.225918,1411.065,1,1,1,21.831385,0,83.401855,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0.059105612,83.401855,0.011990141,0.011990141,26.176136,40.978783
28.704277,58.907658,1755.715,2,0,0,6.764672,0,78.27089,1,1,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0.044580635,39.135445,0.0,0.0,8.642641,43.80597
20.08047,50.371635,1452.3163,1,0,1,8.623446,0,56.51985,1,1,3,1,1,0,0,1,0,0,0,0,1,0,0,0,0.038917042,56.51985,0.0,0.0176929,15.257377,35.22605
23.097359,51.40142,1094.1304,9,1,0,3.0719693,0,70.81173,1,1,4,1,1,0,0,1,0,0,0,0,1,0,0,0,0.06471965,7.86797,0.014121954,0.0,4.338221,37.24939
29.576036,36.824265,1871.7092,6,0,0,17.62669,1,84.321884,1,1,5,1,1,0,0,1,0,0,0,0,0,1,0,0,0.04505074,14.053647,0.0,0.0,20.90405,33.20015
25.131166,35.70962,1607.0012,6,1,0,24.264702,1,76.165794,1,1,6,1,1,0,0,1,0,0,0,0,0,1,0,0,0.047396228,12.694299,0.013129253,0.0,31.85774,30.420395
23.182844,31.67992,1633.9553,8,0,0,27.5171,1,74.131905,1,1,7,1,1,0,0,1,0,0,0,0,0,1,0,0,0.045369603,9.266488,0.0,0.0,37.119106,27.431381
25.392,46.399364,1240.3092,6,1,0,2.3075955,0,78.20624,1,1,8,1,1,0,0,1,0,0,0,0,0,1,0,0,0.063053824,13.034373,0.012786704,0.0,2.950654,35.895683
22.21255,32.418465,1705.4203,1,1,0,29.140072,0,77.99221,1,1,9,1,1,0,0,1,0,0,0,0,0,1,0,0,0.045731958,77.99221,0.012821794,0.0,37.3628,27.315506
28.064814,36.451473,1341.4672,2,0,0,0.3522384,1,82.27444,1,1,10,1,1,0,0,1,0,0,0,0,0,1,0,0,0.061331682,41.13722,0.0,0.0,0.42812616,32.258144
23.422546,30.527342,1604.4183,6,1,1,19.529549,1,73.27867,1,1,11,1,1,0,0,1,0,0,0,0,0,1,0,0,0.045673046,12.213112,0.013646536,0.013646536,26.65107,26.974945
25.38889,47.601017,1244.6189,1,1,0,21.797443,1,84.144775,1,1,12,1,1,0,0,1,0,0,0,0,0,0,0,1,0.06760686,84.144775,0.01188428,0.0,25.904692,36.494953
20.058739,41.86164,1806.0526,2,0,0,6.384949,1,60.02252,1,1,13,1,1,0,0,1,0,0,0,0,0,0,0,1,0.033234093,30.01126,0.0,0.0,10.637589,30.96019
26.731525,37.29787,1419.749,6,0,0,12.0742235,1,81.18319,1,1,14,1,1,0,0,1,0,0,0,0,0,0,0,1,0.057181366,13.530532,0.0,0.0,14.872811,32.014698
22.100243,56.09918,1144.8063,8,0,1,10.90077,0,74.08125,1,1,15,1,1,0,0,1,0,0,0,0,0,0,0,1,0.06471074,9.260157,0.0,0.013498692,14.714614,39.09971
29.325577,56.954174,1620.8618,0,1,1,15.4539995,0,89.49821,1,1,16,1,1,0,0,1,0,0,0,0,0,0,0,1,0.05521643,0.0,0.0111734085,0.0111734085,17.267385,43.139877
23.742447,42.245846,1413.5951,1,1,0,3.9406784,1,72.872444,1,1,17,1,1,0,0,1,0,0,0,0,0,0,0,1,0.051551145,72.872444,0.013722608,0.0,5.4076385,32.99415
27.524189,47.17243,1832.1998,9,1,0,19.68896,0,83.899895,1,1,18,1,1,0,0,1,0,0,0,0,0,0,1,0,0.04579189,9.32221,0.011918966,0.0,23.467203,37.34831
27.63139,36.140293,1251.5537,4,1,1,8.848083,1,82.077576,1,1,19,1,1,0,0,1,0,0,0,0,0,0,1,0,0.06558055,20.519394,0.012183595,0.012183595,10.780146,31.885841
28.704994,59.931896,1211.2618,9,1,1,11.703978,1,94.23629,1,1,20,1,1,0,0,1,0,0,0,0,0,0,1,0,0.077800095,10.470699,0.0106116235,0.0106116235,12.41982,44.318443
21.101112,30.418007,1677.1052,3,0,0,14.517203,1,59.67238,1,1,21,1,1,0,0,1,0,0,0,0,0,0,1,0,0.035580583,19.890793,0.0,0.0,24.32818,25.75956
23.00092,43.638382,1228.3224,1,0,0,4.3028445,0,70.23523,1,1,22,1,1,0,0,1,0,0,0,0,0,0,1,0,0.0571798,70.23523,0.0,0.0,6.1263337,33.31965
24.749058,57.21685,1253.7089,6,1,1,0.66033757,0,78.39421,1,1,23,1,1,0,0,1,0,0,0,0,1,0,0,0,0.06252984,13.0657015,0.012756044,0.012756044,0.8423295,40.982956
26.729366,46.194088,1533.8876,8,1,0,18.581034,0,87.841644,1,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0.05726733,10.980206,0.011384122,0.0,21.152874,36.461727
22.575924,57.749573,1040.2062,8,0,1,8.906945,1,72.92985,1,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0.070110954,9.116231,0.0,0.013711807,12.213031,40.16275
27.011513,52.637573,1701.2554,9,1,1,24.051355,0,86.66909,1,2,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0.050944198,9.629899,0.011538139,0.011538139,27.750788,39.824543
26.57,43.33031,1126.0627,7,0,1,2.9434035,0,80.41143,1,2,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0.07140937,11.487348,0.0,0.012436043,3.6604292,34.950157
21.820078,56.855186,1289.6161,3,0,1,25.513775,1,64.2121,1,2,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0.049791638,21.404032,0.0,0.01557339,39.733593,39.33763
23.22063,46.07388,1649.5104,2,0,1,18.270529,0,74.16034,1,2,5,1,1,0,0,0,1,0,0,0,0,1,0,0,0.044959,37.08017,0.0,0.013484296,24.636522,34.647255
28.875374,31.803131,1887.2018,5,1,1,24.468836,1,81.04958,1,2,6,1,1,0,0,0,1,0,0,0,0,1,0,0,0.04294696,16.209917,0.012338126,0.012338126,30.189959,30.339252
20.833492,51.147007,1096.7031,1,1,0,21.8651,0,70.308174,1,2,7,1,1,0,0,0,1,0,0,0,0,1,0,0,0.06410866,70.308174,0.014223097,0.0,31.098948,35.99025
27.465641,34.94099,1491.288,9,1,0,4.6457386,0,82.28439,1,2,8,1,1,0,0,0,1,0,0,0,0,1,0,0,0.05517673,9.142711,0.012152973,0.0,5.6459537,31.203316
20.6235,50.145035,1036.4623,6,0,1,0.37220126,0,59.847393,1,2,9,1,1,0,0,0,1,0,0,0,0,1,0,0,0.05774199,9.9745655,0.0,0.016709166,0.62191725,35.38427
27.314812,42.936054,1876.5103,4,1,0,1.1813312,1,82.504036,1,2,10,1,1,0,0,0,1,0,0,0,0,1,0,0,0.04396674,20.626009,0.012120619,0.0,1.4318465,35.125435
27.425114,32.394787,1155.2301,9,1,0,8.166147,1,82.78245,1,2,11,1,1,0,0,0,1,0,0,0,0,1,0,0,0.07165884,9.19805,0.012079855,0.0,9.864588,29.90995
24.079159,54.095047,1850.322,7,0,0,21.060814,1,74.67411,1,2,12,1,1,0,0,0,1,0,0,0,0,0,0,1,0.04035736,10.66773,0.0,0.0,28.203636,39.087105
29.91383,53.34075,1924.1862,0,1,0,25.848055,0,86.88914,1,2,13,1,1,0,0,0,1,0,0,0,0,0,0,1,0.045156304,0.0,0.011508918,0.0,29.748314,41.62729
24.521374,42.276474,1654.9299,7,1,0,1.6471723,1,78.54243,1,2,14,1,1,0,0,0,1,0,0,0,0,0,0,1,0.04745967,11.220346,0.012731972,0.0,2.0971754,33.398926
