temperatura,umidade,area,ocupacao,hvac,iluminacao,energia_renovavel,feriado,consumo_energia,ano,mes,dia,hora,fim_de_semana,semana_do_ano,dia_semana_sexta,dia_semana_segunda,dia_semana_sabado,dia_semana_domingo,dia_semana_quinta,dia_semana_terca,dia_semana_quarta,periodo_madrugada,periodo_manha,periodo_noite,periodo_tarde,consumo_energia_medio_hora,consumo_medio_por_dia,consumo_medio_por_faixa_temp,eficiencia_media_por_metro_quadrado_hora,eficiencia_media_por_metro_quadrado_dia,eficiencia_media_por_metro_quadrado_temp,kwh_medio_hora_por_pessoa,kwh_medio_dia_por_pessoa,kwh_medio_temperatura_por_pessoa,hvac_eficiencia_media_hora,hvac_eficiencia_media_dia,hvac_eficiencia_media_temp,iluminacao_eficiencia_media_dia,iluminacao_eficiencia_media_temp,percentual_renovavel_media_hora,percentual_renovavel_media_dia,percentual_renovavel_media_temp,conforto_termico
25.139433,43.43158,1565.694,5,1,0,2.7746987,0,75.36437,2022,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,77.9865,78.86947,82.163315,0.049809545,0.05037349,0.05247725,15.597301,15.773893,16.432663,0.012822731,0.012679177,0.012170882,0.0,0.0,3.5579216,3.5180898,3.3770533,34.285507
27.731651,54.225918,1411.065,1,1,1,21.831385,0,83.401855,2022,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,79.2671,78.86947,82.163315,0.05617537,0.055893578,0.058227878,79.2671,78.86947,82.163315,0.0126155745,0.012679177,0.012170882,0.012679177,0.012170882,27.541548,27.6804,26.570719,40.978783
28.704277,58.907658,1755.715,2,0,0,6.764672,0,78.27089,2022,1,1,2,1,1,0,0,1,0,0,0,0,1,0,0,0,75.54592,78.86947,82.163315,0.04302858,0.04492157,0.04679764,37.77296,39.434734,41.081657,0.0,0.0,0.0,0.0,0.0,8.954384,8.577047,8.233202,43.80597
20.08047,50.371635,1452.3163,1,0,1,8.623446,0,56.51985,2022,1,1,3,1,1,0,0,1,0,0,0,0,1,0,0,0,76.23531,78.86947,72.43486,0.052492224,0.054305986,0.049875405,76.23531,78.86947,72.43486,0.0,0.0,0.0,0.012679177,0.013805508,11.311617,10.933821,11.905106,35.22605
23.097359,51.40142,1094.1304,9,1,0,3.0719693,0,70.81173,2022,1,1,4,1,1,0,0,1,0,0,0,0,1,0,0,0,77.11702,78.86947,72.43486,0.07048248,0.07208416,0.06620313,8.568558,8.763274,8.048318,0.012967306,0.012679177,0.013805508,0.0,0.0,3.9835167,3.8950045,4.241009,37.24939
29.576036,36.824265,1871.7092,6,0,0,17.62669,1,84.321884,2022,1,1,5,1,1,0,0,1,0,0,0,0,0,1,0,0,76.34572,78.86947,82.163315,0.040789306,0.04213767,0.04389748,12.724286,13.144912,13.693886,0.0,0.0,0.0,0.0,0.0,23.087988,22.349194,21.453236,33.20015
25.131166,35.70962,1607.0012,6,1,0,24.264702,1,76.165794,2022,1,1,6,1,1,0,0,1,0,0,0,0,0,1,0,0,77.93568,78.86947,82.163315,0.048497584,0.049078662,0.051128346,12.98928,13.144912,13.693886,0.012831094,0.012679177,0.012170882,0.0,0.0,31.134268,30.765646,29.53228,30.420395
23.182844,31.67992,1633.9553,8,0,0,27.5171,1,74.131905,2022,1,1,7,1,1,0,0,1,0,0,0,0,0,1,0,0,76.30863,78.86947,72.43486,0.046701785,0.04826905,0.04433099,9.538579,9.858684,9.054358,0.0,0.0,0.0,0.0,0.0,36.060272,34.88942,37.98875,27.431381
25.392,46.399364,1240.3092,6,1,0,2.3075955,0,78.20624,2022,1,1,8,1,1,0,0,1,0,0,0,0,0,1,0,0,77.38033,78.86947,82.163315,0.062387936,0.06358855,0.06624422,12.896722,13.144912,13.693886,0.01292318,0.012679177,0.012170882,0.0,0.0,2.9821472,2.9258413,2.8085473,35.895683
22.21255,32.418465,1705.4203,1,1,0,29.140072,0,77.99221,2022,1,1,9,1,1,0,0,1,0,0,0,0,0,1,0,0,74.39843,78.86947,72.43486,0.043624688,0.046246354,0.04247332,74.39843,78.86947,72.43486,0.013441144,0.012679177,0.013805508,0.0,0.0,39.167587,36.947216,40.229347,27.315506
28.064814,36.451473,1341.4672,2,0,0,0.3522384,1,82.27444,2022,1,1,10,1,1,0,0,1,0,0,0,0,0,1,0,0,78.22316,78.86947,82.163315,0.05831165,0.05879344,0.061248846,39.11158,39.434734,41.081657,0.0,0.0,0.0,0.0,0.0,0.45029935,0.44660932,0.4287052,32.258144
23.422546,30.527342,1604.4183,6,1,1,19.529549,1,73.27867,2022,1,1,11,1,1,0,0,1,0,0,0,0,0,1,0,0,77.00639,78.86947,72.43486,0.047996454,0.04915767,0.045147117,12.834399,13.144912,12.072476,0.0129859345,0.012679177,0.013805508,0.012679177,0.013805508,25.360945,24.761862,26.961533,26.974945
25.38889,47.601017,1244.6189,1,1,0,21.797443,1,84.144775,2022,1,1,12,1,1,0,0,1,0,0,0,0,0,0,0,1,77.27699,78.86947,82.163315,0.06208888,0.063368365,0.06601484,77.27699,78.86947,82.163315,0.012940462,0.012679177,0.012170882,0.0,0.0,28.2069,27.637365,26.529411,36.494953
20.058739,41.86164,1806.0526,2,0,0,6.384949,1,60.02252,2022,1,1,13,1,1,0,0,1,0,0,0,0,0,0,0,1,76.3327,78.86947,72.43486,0.04226494,0.04366953,0.04010673,38.16635,39.434734,36.21743,0.0,0.0,0.0,0.0,0.0,8.364632,8.095591,8.814746,30.96019
26.731525,37.29787,1419.749,6,0,0,12.0742235,1,81.18319,2022,1,1,14,1,1,0,0,1,0,0,0,0,0,0,0,1,76.2337,78.86947,82.163315,0.0536952,0.055551697,0.057871718,12.705617,13.144912,13.693886,0.0,0.0,0.0,0.0,0.0,15.838432,15.309122,14.695395,32.014698
22.100243,56.09918,1144.8063,8,0,1,10.90077,0,74.08125,2022,1,1,15,1,1,0,0,1,0,0,0,0,0,0,0,1,77.61918,78.86947,72.43486,0.06780115,0.06889329,0.063272595,9.702397,9.858684,9.054358,0.0,0.0,0.0,0.012679177,0.013805508,14.043914,13.82128,15.049066,39.09971
29.325577,56.954174,1620.8618,0,1,1,15.4539995,0,89.49821,2022,1,1,16,1,1,0,0,1,0,0,0,0,0,0,0,1,76.28007,78.86947,82.163315,0.047061425,0.04865897,0.050691128,0.0,0.0,0.0,0.013109584,0.012679177,0.012170882,0.012679177,0.012170882,20.259552,19.5944,18.80888,43.139877
23.742447,42.245846,1413.5951,1,1,0,3.9406784,1,72.872444,2022,1,1,17,1,1,0,0,1,0,0,0,0,0,0,0,1,78.253,78.86947,72.43486,0.055357434,0.055793535,0.05124159,78.253,78.86947,72.43486,0.012779063,0.012679177,0.013805508,0.0,0.0,5.0358176,4.996456,5.440306,32.99415
27.524189,47.17243,1832.1998,9,1,0,19.68896,0,83.899895,2022,1,1,18,1,1,0,0,1,0,0,0,0,0,0,1,0,75.18646,78.86947,82.163315,0.04103617,0.043046325,0.04484408,8.354052,8.763274,9.129257,0.013300267,0.012679177,0.012170882,0.0,0.0,26.186842,24.963982,23.9632,37.34831
27.63139,36.140293,1251.5537,4,1,1,8.848083,1,82.077576,2022,1,1,19,1,1,0,0,1,0,0,0,0,0,0,1,0,78.61429,78.86947,82.163315,0.06281336,0.06301725,0.065649055,19.653572,19.717367,20.540829,0.012720334,0.012679177,0.012170882,0.012679177,0.012170882,11.255056,11.218641,10.768897,31.885841
28.704994,59.931896,1211.2618,9,1,1,11.703978,1,94.23629,2022,1,1,20,1,1,0,0,1,0,0,0,0,0,0,1,0,77.87319,78.86947,82.163315,0.06429096,0.06511348,0.06783283,8.652576,8.763274,9.129257,0.0128413895,0.012679177,0.012170882,0.012679177,0.012170882,15.029533,14.839681,14.244773,44.318443
21.101112,30.418007,1677.1052,3,0,0,14.517203,1,59.67238,2022,1,1,21,1,1,0,0,1,0,0,0,0,0,0,1,0,76.38668,78.86947,72.43486,0.045546744,0.047027145,0.04319041,25.462227,26.289824,24.144953,0.0,0.0,0.0,0.0,0.0,19.004889,18.40662,20.041735,25.75956
23.00092,43.638382,1228.3224,1,0,0,4.3028445,0,70.23523,2022,1,1,22,1,1,0,0,1,0,0,0,0,0,0,1,0,79.14937,78.86947,72.43486,0.064436965,0.064209096,0.05897056,79.14937,78.86947,72.43486,0.0,0.0,0.0,0.0,0.0,5.43636,5.455653,5.940295,33.31965
