consumo_energia,temperatura,consumo_medio_por_faixa_temp,hvac,hvac_eficiencia_media_dia,hvac_eficiencia_media_hora,hvac_eficiencia_media_temp,ocupacao,eficiencia_media_por_metro_quadrado_temp,consumo_energia_medio_hora,conforto_termico,consumo_medio_por_dia,kwh_medio_dia_por_pessoa,kwh_medio_hora_por_pessoa,umidade,iluminacao,iluminacao_eficiencia_media_dia,dia_semana_sabado,energia_renovavel
75.36437,25.139433,82.163315,1,0.012679177,0.012822731,0.012170882,5,0.05247725,77.9865,34.285507,78.86947,15.773893,15.597301,43.43158,0,0.0,1,2.7746987
83.401855,27.731651,82.163315,1,0.012679177,0.0126155745,0.012170882,1,0.058227878,79.2671,40.978783,78.86947,78.86947,79.2671,54.225918,1,0.012679177,1,21.831385
78.27089,28.704277,82.163315,0,0.0,0.0,0.0,2,0.04679764,75.54592,43.80597,78.86947,39.434734,37.77296,58.907658,0,0.0,1,6.764672
56.51985,20.08047,72.43486,0,0.0,0.0,0.0,1,0.049875405,76.23531,35.22605,78.86947,78.86947,76.23531,50.371635,1,0.012679177,1,8.623446
70.81173,23.097359,72.43486,1,0.012679177,0.012967306,0.013805508,9,0.06620313,77.11702,37.24939,78.86947,8.763274,8.568558,51.40142,0,0.0,1,3.0719693
84.321884,29.576036,82.163315,0,0.0,0.0,0.0,6,0.04389748,76.34572,33.20015,78.86947,13.144912,12.724286,36.824265,0,0.0,1,17.62669
76.165794,25.131166,82.163315,1,0.012679177,0.012831094,0.012170882,6,0.051128346,77.93568,30.420395,78.86947,13.144912,12.98928,35.70962,0,0.0,1,24.264702
74.131905,23.182844,72.43486,0,0.0,0.0,0.0,8,0.04433099,76.30863,27.431381,78.86947,9.858684,9.538579,31.67992,0,0.0,1,27.5171
78.20624,25.392,82.163315,1,0.012679177,0.01292318,0.012170882,6,0.06624422,77.38033,35.895683,78.86947,13.144912,12.896722,46.399364,0,0.0,1,2.3075955
77.99221,22.21255,72.43486,1,0.012679177,0.013441144,0.013805508,1,0.04247332,74.39843,27.315506,78.86947,78.86947,74.39843,32.418465,0,0.0,1,29.140072
82.27444,28.064814,82.163315,0,0.0,0.0,0.0,2,0.061248846,78.22316,32.258144,78.86947,39.434734,39.11158,36.451473,0,0.0,1,0.3522384
73.27867,23.422546,72.43486,1,0.012679177,0.0129859345,0.013805508,6,0.045147117,77.00639,26.974945,78.86947,13.144912,12.834399,30.527342,1,0.012679177,1,19.529549
84.144775,25.38889,82.163315,1,0.012679177,0.012940462,0.012170882,1,0.06601484,77.27699,36.494953,78.86947,78.86947,77.27699,47.601017,0,0.0,1,21.797443
60.02252,20.058739,72.43486,0,0.0,0.0,0.0,2,0.04010673,76.3327,30.96019,78.86947,39.434734,38.16635,41.86164,0,0.0,1,6.384949
81.18319,26.731525,82.163315,0,0.0,0.0,0.0,6,0.057871718,76.2337,32.014698,78.86947,13.144912,12.705617,37.29787,0,0.0,1,12.0742235
74.08125,22.100243,72.43486,0,0.0,0.0,0.0,8,0.063272595,77.61918,39.09971,78.86947,9.858684,9.702397,56.09918,1,0.012679177,1,10.90077
89.49821,29.325577,82.163315,1,0.012679177,0.013109584,0.012170882,0,0.050691128,76.28007,43.139877,78.86947,0.0,0.0,56.954174,1,0.012679177,1,15.4539995
72.872444,23.742447,72.43486,1,0.012679177,0.012779063,0.013805508,1,0.05124159,78.253,32.99415,78.86947,78.86947,78.253,42.245846,0,0.0,1,3.9406784
83.899895,27.524189,82.163315,1,0.012679177,0.013300267,0.012170882,9,0.04484408,75.18646,37.34831,78.86947,8.763274,8.354052,47.17243,0,0.0,1,19.68896
82.077576,27.63139,82.163315,1,0.012679177,0.012720334,0.012170882,4,0.065649055,78.61429,31.885841,78.86947,19.717367,19.653572,36.140293,1,0.012679177,1,8.848083
94.23629,28.704994,82.163315,1,0.012679177,0.0128413895,0.012170882,9,0.06783283,77.87319,44.318443,78.86947,8.763274,8.652576,59.931896,1,0.012679177,1,11.703978
59.67238,21.101112,72.43486,0,0.0,0.0,0.0,3,0.04319041,76.38668,25.75956,78.86947,26.289824,25.462227,30.418007,0,0.0,1,14.517203
70.23523,23.00092,72.43486,0,0.0,0.0,0.0,1,0.05897056,79.14937,33.31965,78.86947,78.86947,79.14937,43.638382,0,0.0,1,4.3028445
78.39421,24.749058,72.43486,1,0.012679177,0.013084531,0.013805508,6,0.05777646,76.426125,40.982956,78.86947,13.144912,12.737687,57.21685,1,0.012679177,1,0.66033757
87.841644,26.729366,82.163315,1,0.0130070485,0.012822731,0.012170882,8,0.05356541,77.9865,36.461727,76.88139,9.610174,9.748313,46.194088,0,0.0,0,18.581034
72.92985,22.575924,72.43486,0,0.0,0.0,0.0,8,0.0696351,79.2671,40.16275,76.88139,9.610174,9.908387,57.749573,1,0.0130070485,0,8.906945
86.66909,27.011513,82.163315,1,0.0130070485,0.013236982,0.012170882,9,0.0482957,75.54592,39.824543,76.88139,8.542377,8.393991,52.637573,1,0.0130070485,0,24.051355
80.41143,26.57,82.163315,0,0.0,0.0,0.0,7,0.07296513,76.23531,34.950157,76.88139,10.983056,10.890759,43.33031,1,0.0130070485,0,2.9434035
64.2121,21.820078,72.43486,0,0.0,0.0,0.0,3,0.05616777,77.11702,39.33763,76.88139,25.62713,25.705673,56.855186,1,0.0130070485,0,25.513775
74.16034,23.22063,72.43486,0,0.0,0.0,0.0,2,0.043912947,76.34572,34.647255,76.88139,38.440697,38.17286,46.07388,1,0.0130070485,0,18.270529
81.04958,28.875374,82.163315,1,0.0130070485,0.012831094,0.012170882,5,0.04353711,77.93568,30.339252,76.88139,15.376279,15.587135,31.803131,1,0.0130070485,0,24.468836
70.308174,20.833492,72.43486,1,0.0130070485,0.013104677,0.013805508,1,0.06604783,76.30863,35.99025,76.88139,76.88139,76.30863,51.147007,0,0.0,0,21.8651
82.28439,27.465641,82.163315,1,0.0130070485,0.01292318,0.012170882,9,0.05509554,77.38033,31.203316,76.88139,8.542377,8.597815,34.94099,0,0.0,0,4.6457386
