consumo_energia,temperatura,consumo_medio_por_faixa_temp,hvac,hvac_eficiencia_media_dia,hvac_eficiencia_media_hora,hvac_eficiencia_media_temp,ocupacao,eficiencia_media_por_metro_quadrado_temp,consumo_energia_medio_hora,conforto_termico,consumo_medio_por_dia,kwh_medio_dia_por_pessoa,kwh_medio_hora_por_pessoa,umidade,iluminacao,iluminacao_eficiencia_media_dia,dia_semana_sabado,energia_renovavel,temperatura_umidade,temperatura_ocupacao,temperatura_hvac,temperatura_iluminacao,temperatura_energia_renovavel
75.36437,25.139433,82.163315,1,0.012679177,0.012822731,0.012170882,5,0.05247725,77.9865,34.285507,78.86947,15.773893,15.597301,43.43158,0,0.0,1,2.7746987,1091.8453,125.69717,25.139433,0.0,69.75436
83.401855,27.731651,82.163315,1,0.012679177,0.0126155745,0.012170882,1,0.058227878,79.2671,40.978783,78.86947,78.86947,79.2671,54.225918,1,0.012679177,1,21.831385,1503.7743,27.731651,27.731651,27.731651,605.42035
78.27089,28.704277,82.163315,0,0.0,0.0,0.0,2,0.04679764,75.54592,43.80597,78.86947,39.434734,37.77296,58.907658,0,0.0,1,6.764672,1690.9017,57.408554,0.0,0.0,194.17502
56.51985,20.08047,72.43486,0,0.0,0.0,0.0,1,0.049875405,76.23531,35.22605,78.86947,78.86947,76.23531,50.371635,1,0.012679177,1,8.623446,1011.4861,20.08047,0.0,20.08047,173.16286
70.81173,23.097359,72.43486,1,0.012679177,0.012967306,0.013805508,9,0.06620313,77.11702,37.24939,78.86947,8.763274,8.568558,51.40142,0,0.0,1,3.0719693,1187.237,207.87622,23.097359,0.0,70.95438
84.321884,29.576036,82.163315,0,0.0,0.0,0.0,6,0.04389748,76.34572,33.20015,78.86947,13.144912,12.724286,36.824265,0,0.0,1,17.62669,1089.1158,177.45622,0.0,0.0,521.32764
76.165794,25.131166,82.163315,1,0.012679177,0.012831094,0.012170882,6,0.051128346,77.93568,30.420395,78.86947,13.144912,12.98928,35.70962,0,0.0,1,24.264702,897.42444,150.787,25.131166,0.0,609.80023
74.131905,23.182844,72.43486,0,0.0,0.0,0.0,8,0.04433099,76.30863,27.431381,78.86947,9.858684,9.538579,31.67992,0,0.0,1,27.5171,734.43066,185.46275,0.0,0.0,637.9246
78.20624,25.392,82.163315,1,0.012679177,0.01292318,0.012170882,6,0.06624422,77.38033,35.895683,78.86947,13.144912,12.896722,46.399364,0,0.0,1,2.3075955,1178.1727,152.352,25.392,0.0,58.594463
77.99221,22.21255,72.43486,1,0.012679177,0.013441144,0.013805508,1,0.04247332,74.39843,27.315506,78.86947,78.86947,74.39843,32.418465,0,0.0,1,29.140072,720.09674,22.21255,22.21255,0.0,647.27527
