temperatura,umidade,area,ocupacao,hvac,iluminacao,energia_renovavel,feriado,consumo_energia,ano,mes,dia,hora,fim_de_semana,semana_do_ano,dia_semana_sexta,dia_semana_segunda,dia_semana_sabado,dia_semana_domingo,dia_semana_quinta,dia_semana_terca,dia_semana_quarta,periodo_madrugada,periodo_manha,periodo_noite,periodo_tarde,eficiencia_por_metro_quadrado,kwh_por_pessoa,hvac_eficiencia,iluminacao_eficiencia,percentual_renovavel,conforto_termico
0.10973409,-0.13564716,0.31345326,0.38031253,1.0161301,-0.9821591,-1.5472908,-0.93604094,75.36437,0.0,-0.58658844,-2.2424104,-2.7988627,1.5723301,-1.803915,-0.396746,-0.41015154,2.4381232,-0.41015154,-0.41015154,-0.41015154,-0.41015154,1.7274442,-0.64531434,-0.5078008,-0.57735026,-0.42748016,0.100316085,1.0940267,-0.97164035,-1.5065733,-0.14122069
0.97270596,1.0120958,-0.21252167,-1.2072688,1.0161301,1.018165,0.7313644,-0.93604094,83.401855,0.0,-0.58658844,-2.2424104,-1.9466178,1.5723301,-1.803915,-0.396746,-0.41015154,2.4381232,-0.41015154,-0.41015154,-0.41015154,-0.41015154,1.7274442,-0.64531434,-0.5078008,-0.57735026,0.46994513,1.6595479,0.89580715,0.85601765,0.6245685,1.2525978
1.2765511,1.4415318,0.89289844,-0.62162775,-0.984126,-0.9821591,-0.6341356,-0.93604094,78.27089,0.0,-0.58658844,-2.2424104,-1.4484749,1.5723301,-1.803915,-0.396746,-0.41015154,2.4381232,-0.41015154,-0.41015154,-0.41015154,-0.41015154,1.7274442,-0.64531434,-0.5078008,-0.57735026,-0.7202351,0.9606914,-0.97524065,-0.97164035,-0.63101864,1.7756225
-1.8534044,0.6302953,-0.066773385,-1.2072688,-0.984126,1.018165,-0.36241838,-0.93604094,56.51985,0.0,-0.58658844,-2.2424104,-1.0943733,1.5723301,-1.803915,-0.396746,-0.41015154,2.4381232,-0.41015154,-0.41015154,-0.41015154,-0.41015154,1.7274442,-0.64531434,-0.5078008,-0.57735026,-1.1887922,1.299031,-0.97524065,1.7176969,0.0019609313,0.06987714
-0.632658,0.7350397,-1.4990851,1.1183616,1.0161301,-0.9821591,-1.4513167,-0.93604094,70.81173,0.0,-0.58658844,-2.2424104,-0.82069474,1.5723301,-1.803915,-0.396746,-0.41015154,2.4381232,-0.41015154,-0.41015154,-0.41015154,-0.41015154,1.7274442,-0.64531434,-0.5078008,-0.57735026,0.9255895,-0.45879132,1.2261513,-0.97164035,-1.347552,0.50601065
1.5405453,-0.9853114,1.2165413,0.60327953,-0.984126,-0.9821591,0.47367203,1.0683293,84.321884,0.0,-0.58658844,-2.2424104,-0.5962303,1.5723301,-1.803915,-0.396746,-0.41015154,2.4381232,-0.41015154,-0.41015154,-0.41015154,-0.41015154,-0.5788899,1.5496324,-0.5078008,-0.57735026,-0.68145156,0.03872302,-0.97524065,-0.97164035,0.36322495,-0.39192805
0.10684874,-1.1431696,0.4451787,0.60327953,1.0161301,-0.9821591,0.8595799,1.0683293,76.165794,0.0,-0.58658844,-2.2424104,-0.4065759,1.5723301,-1.803915,-0.396746,-0.41015154,2.4381232,-0.41015154,-0.41015154,-0.41015154,-0.41015154,-0.5788899,1.5496324,-0.5078008,-0.57735026,-0.48823708,-0.050255407,1.0723984,-0.97164035,0.8546243,-1.0722008
-0.60033816,-1.7568178,0.5293206,0.9659537,-0.984126,-0.9821591,1.012893,1.0683293,74.131905,0.0,-0.58658844,-2.2424104,-0.2421287,1.5723301,-1.803915,-0.396746,-0.41015154,2.4381232,-0.41015154,-0.41015154,-0.41015154,-0.41015154,-0.5788899,1.5496324,-0.5078008,-0.57735026,-0.6551569,-0.32111338,-0.97524065,-0.97164035,1.0346088,-1.8743768
0.19749789,0.20558272,-0.86489767,0.60327953,1.0161301,-0.9821591,-1.7145349,-0.93604094,78.20624,0.0,-0.58658844,-2.2424104,-0.098087355,1.5723301,-1.803915,-0.396746,-0.41015154,2.4381232,-0.41015154,-0.41015154,-0.41015154,-0.41015154,-0.5788899,1.5496324,-0.5078008,-0.57735026,0.7906395,-0.027193086,1.019322,-0.97164035,-1.7123139,0.21685699
-0.9740801,-1.6388795,0.74586856,-1.2072688,1.0161301,-0.9821591,1.082971,-0.93604094,77.99221,0.0,-0.58658844,-2.2424104,0.031549856,1.5723301,-1.803915,-0.396746,-0.41015154,2.4381232,-0.41015154,-0.41015154,-0.41015154,-0.41015154,-0.5788899,1.5496324,-0.5078008,-0.57735026,-0.6252936,1.5972712,1.0247542,-0.97164035,1.0423312,-1.9071485
