temperatura,umidade,area,ocupacao,hvac,iluminacao,energia_renovavel,feriado,consumo_energia,ano,mes,dia,hora,fim_de_semana,semana_do_ano,dia_semana_sexta,dia_semana_segunda,dia_semana_sabado,dia_semana_domingo,dia_semana_quinta,dia_semana_terca,dia_semana_quarta,periodo_madrugada,periodo_manha,periodo_noite,periodo_tarde,eficiencia_por_metro_quadrado,kwh_por_pessoa,hvac_eficiencia,iluminacao_eficiencia,percentual_renovavel,conforto_termico
0.05551417,-0.2306417,0.22770476,0.14629054,1.0161301,-0.98215914,-1.4137223,-0.93604094,75.36437,0.0,-0.5865885,-1.3727031,-1.6551001,1.5723302,-1.5173074,-0.39674604,-0.41015154,2.4381232,-0.41015154,-0.41015154,-0.41015154,-0.41015154,1.7274443,-0.64531434,-0.50780076,-0.57735026,-0.43080035,-0.29881117,1.0943581,-0.9715002,-1.3941399,-0.20337304
0.9697378,1.0370961,-0.30869025,-1.2502773,1.0161301,1.018165,0.7662917,-0.93604094,83.401855,0.0,-0.5865885,-1.3727031,-1.510373,1.5723302,-1.5173074,-0.39674604,-0.41015154,2.4381232,-0.41015154,-0.41015154,-0.41015154,-0.41015154,1.7274443,-0.64531434,-0.50780076,-0.57735026,0.46386695,3.1265714,0.8949209,0.8548525,0.55629504,1.3037285
1.3127636,1.586942,0.8868711,-0.9011354,-0.98412603,-0.98215914,-0.95728415,-0.93604094,78.27089,0.0,-0.5865885,-1.3727031,-1.3656458,1.5723302,-1.5173074,-0.39674604,-0.41015154,2.4381232,-0.41015154,-0.41015154,-0.41015154,-0.41015154,1.7274443,-0.64531434,-0.50780076,-0.57735026,-0.72064203,0.9074634,-0.97512645,-0.9715002,-0.9639901,1.9403156
-1.7286814,0.58443123,-0.16559285,-1.2502773,-0.98412603,1.018165,-0.74464726,-0.93604094,56.51985,0.0,-0.5865885,-1.3727031,-1.2209185,1.5723302,-1.5173074,-0.39674604,-0.41015154,2.4381232,-0.41015154,-0.41015154,-0.41015154,-0.41015154,1.7274443,-0.64531434,-0.50780076,-0.57735026,-1.1825067,1.7789567,-0.97512645,1.7235036,-0.39044306,0.008406023
-0.6646843,0.7053738,-1.4081093,1.5428582,1.0161301,-0.98215914,-1.3797157,-0.93604094,70.81173,0.0,-0.5865885,-1.3727031,-1.0761914,1.5723302,-1.5173074,-0.39674604,-0.41015154,2.4381232,-0.41015154,-0.41015154,-0.41015154,-0.41015154,1.7274443,-0.64531434,-0.50780076,-0.57735026,0.92169017,-0.65999836,1.2274098,-0.9715002,-1.3372157,0.46399388
1.6202158,-1.0066358,1.2892454,0.49543247,-0.98412603,-0.98215914,0.28529015,1.0683293,84.321884,0.0,-0.5865885,-1.3727031,-0.93146414,1.5723302,-1.5173074,-0.39674604,-0.41015154,2.4381232,-0.41015154,-0.41015154,-0.41015154,-0.41015154,-0.57888985,1.5496323,-0.50780076,-0.57735026,-0.6823048,-0.3499058,-0.97512645,-0.9715002,0.0991658,-0.44775915
0.052599005,-1.1375449,0.370996,0.49543247,1.0161301,-0.98215914,1.0446541,1.0683293,76.165794,0.0,-0.5865885,-1.3727031,-0.786737,1.5723302,-1.5173074,-0.39674604,-0.41015154,2.4381232,-0.41015154,-0.41015154,-0.41015154,-0.41015154,-0.57888985,1.5496323,-0.50780076,-0.57735026,-0.4910311,-0.41805092,1.0725828,-0.9715002,1.0489327,-1.0736665
-0.6345354,-1.6108121,0.46449733,1.1937163,-0.98412603,-0.98215914,1.4167163,1.0683293,74.131905,0.0,-0.5865885,-1.3727031,-0.6420098,1.5723302,-1.5173074,-0.39674604,-0.41015154,2.4381232,-0.41015154,-0.41015154,-0.41015154,-0.41015154,-0.57888985,1.5496323,-0.50780076,-0.57735026,-0.65630186,-0.58988965,-0.97512645,-0.9715002,1.5051324,-1.7466921
0.14458987,0.11790904,-0.90102726,0.49543247,1.0161301,-0.98215914,-1.4671571,-0.93604094,78.20624,0.0,-0.5865885,-1.3727031,-0.49728262,1.5723302,-1.5173074,-0.39674604,-0.41015154,2.4381232,-0.41015154,-0.41015154,-0.41015154,-0.41015154,-0.57888985,1.5496323,-0.50780076,-0.57735026,0.7858425,-0.4010027,1.0191569,-0.9715002,-1.457528,0.15918441
-0.9767395,-1.524074,0.7124033,-1.2502773,1.0161301,-0.98215914,1.6023785,-0.93604094,77.99221,0.0,-0.5865885,-1.3727031,-0.35255548,1.5723302,-1.5173074,-0.39674604,-0.41015154,2.4381232,-0.41015154,-0.41015154,-0.41015154,-0.41015154,-0.57888985,1.5496323,-0.50780076,-0.57735026,-0.6267519,2.8553817,1.0246297,-0.9715002,1.5262626,-1.7727833
