temperatura,umidade,area,ocupacao,hvac,iluminacao,energia_renovavel,feriado,consumo_energia,ano,mes,dia,hora,fim_de_semana,semana_do_ano,dia_semana_sexta,dia_semana_segunda,dia_semana_sabado,dia_semana_domingo,dia_semana_quinta,dia_semana_terca,dia_semana_quarta,periodo_madrugada,periodo_manha,periodo_noite,periodo_tarde
0.51364374,0.44788682,0.5654813,0.5555556,1.0,0.0,0.0923958,0.0,75.36437,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.7730963,0.8082613,0.41077018,0.11111111,1.0,1.0,0.72849464,0.0,83.401855,0.0,0.0,0.0,0.04347826,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.8704455,0.9645636,0.7556031,0.22222222,0.0,0.0,0.22557831,0.0,78.27089,0.0,0.0,0.0,0.08695652,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.007297039,0.67958415,0.4520434,0.11111111,0.0,1.0,0.28762293,0.0,56.51985,0.0,0.0,0.0,0.13043478,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.30925465,0.713964,0.09366739,1.0,1.0,0.0,0.10231848,0.0,70.81173,0.0,0.0,0.0,0.17391305,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.95769906,0.22729826,0.8716589,0.6666667,0.0,0.0,0.58814484,1.0,84.321884,0.0,0.0,0.0,0.21739131,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.5128164,0.19008529,0.60681045,0.6666667,1.0,0.0,0.80971706,1.0,76.165794,0.0,0.0,0.0,0.26086956,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.31781077,0.05555165,0.6337788,0.8888889,0.0,0.0,0.9182798,1.0,74.131905,0.0,0.0,0.0,0.30434784,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.538923,0.54696786,0.23992383,0.6666667,1.0,0.0,0.07680422,0.0,78.20624,0.0,0.0,0.0,0.3478261,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.22069478,0.0802083,0.70528173,0.11111111,1.0,0.0,0.97245353,0.0,77.99221,0.0,0.0,0.0,0.39130434,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
